	id	username	text	retweets	geo
40	1177005621071290375	icamachado2	@dafiti_brasil como assim o sapato custa 89 e o frete 43?	0	
41	1176678848999645185	ju_tschaen	Eu: nossa, tomara que ngm descubra que esse sapato foi baratim Menina na faculdade: nossa eu tênis bonitinho, queria um igual Eu: 3 por 150 na Dafiti	0	
42	1175063633711247363	nescaiara	Pobre com cartão de crédito é que nem um caminhão desgovernado. Eu tô há 3 dias colocando sapatos no carrinho da Dafiti Espero que não tenha coragem de fechar a compra Ajuda Deus	0	
43	1174870062127288321	whoismendy	tem dois sapatos na dafiti que eu queria muito comprar, mas no momento se eu comprasse minha mãe comeria meu cu	0	
44	1174419273453883394	adsonbahia	@dafiti_brasil um sapato legal,um relógio que não vale 15 reais ,uma carteira que não vale 2 e o cinto estava grande até aí tudo bem que posso corta,mais quando tirei a fivela ela quebrou,uma compra de 129.00 mais frete que me trouxe muito arrependimento #dafiti 	0	
45	1174373740496470018	bissexuanitta	pra dafiti, uns sapatos e roupa podre de brega https://www.dafiti.com.br/estilo/chata-de-galocha/?cat-pwa=0&amp;campwa=0&amp;page=1	0	
46	1174328427970797569	luancavallari	Comprei dois pares de sapatos diferentes na @dafiti_brasil, vendidos e entregues por meios diferentes, chegou apenas um, no site tá que os dois foram entregues e na transportadora disseram que entregaram pra um vizinho, gente isso não existe não	0	
47	1174318601001721861	sofiarosa_	Essas promoções de 500 sapatos por 99,00 reais estão acabando comigo... né dona @dafiti_brasil? KKKKKKKKKKKKKKKKKKKKKKKK	0	
48	1174116545615794177	fabriciozago	primeira e última vez que compro um sapato pela internet. produto chegou sem qualquer selo de procedência, fabricante e tamanho, com nota fiscal emitida por pessoa física. E olha q a #Dafiti diz que só vende produtos de marca. Aham...	0	
49	1173698908515655683	bruxinha131	Meus sapatos da @dafiti_brasil chegaram 	0	
50	1173677008380993541	PablloVittek	tô pra comprar um sapato neway que tá na promoção na @dafiti_brasil mas o preço do frete coloca o valor bruto e a promoção no fim não vale de nada. Mesma coisa na @SigaZattini . Mas se fosse no Sul o frete tava de boa. Uó!	0	
51	1173576285416828928	priskika	Nunca tem sapato tamanho 37 na Dafiti. A solidão da mulher normal	0	
52	1173314238900768768	debss_l	enchendo minha sacola na dafiti de sapatos	0	
53	1171872591092572161	_laucastt	Meu sapato é da Dafiti	0	
54	1171538153926221825	foxxyup	Vulgo eu mesma que comprei uma calça branca hj e tô no site da Dafiti pra comprar sapato	0	
55	1171428415984951296	OtalHebinholll	Mano, comprei um sapato + carteira + cinto na dafiti por um preço que não dava nem o sapato. E chegou tudo certinho e de boa qualidade. Dafiti é o aliexpress brasileiro haha hahahaha Agora não tenho mais medo hahaja	0	
56	1170714582471630850	REPAGANI	Calçados e Moda Online - Sapatos, Roupas, Bolsas e Mais | Dafiti https://m.dafiti.com.br/	0	
57	1170046046434746368	edriacaroline	Quero opiniões de consumidores sobre a Dafiti. Eu tô me batendo TODA pra comprar um sapato, mas o medo das compras online é GRANDE.	0	
58	1169731225038327809	arrobadasara	MDS pq que a dafiti tá sugerindo sapato de criança pra mim????? Será que eu to grávida e não sei? Sério to mto preocupada.	0	
59	1169656601009152001	ofilipecabeca	Só queria que o meu sapato chegasse hoje @dafiti_brasil	0	
60	1168843190289534976	faleirosmari	teve um tempo que meu sonho era morar nesse apê aqui. agora quero um dia comprar aqueles combos de 3 sapatos por 200 pila da dafiti	0	
61	1168681608234360832	isbamorais	entrar no site da dafiti pra ficar vendo sapato que nunca vou comprar 	0	
62	1168679803786072065	clarissapaiva	muito triste ser sapatão (mulher com o pé grande) e não conseguir aproveitar as promoções de calçado da dafiti porque a maioria dos sapatos femininos só vai até 39	0	
63	1168639401657868290	dafiti_brasil	Então me ajude a segurar essa barra que é gostar de comprar sapatos! https://twitter.com/lunbs1/status/1166528987197321216	0	
64	1168322162513649666	giagermeister	gi fala sites pra comprar roupinhas pfvr — p compra online eu nem conheço mt viu, mas eu entendo mt de lojas físicas c preços em conta. online eu só compro algumas peças qnd tem sale na youcom e sapato na dafiti. e tem o brechó d4… 	0	
65	1167936514459746304	dona7saias	Caraca, eu compro meus sapato na dafiti e chega pelo correio e olha que uso uns salto agulha hein	0	
66	1167542879700561921	GafanhotoApp	[dafiti] Sapatênis Sapato Casual Juilli Com Relógio Com Cadarço 1100L Café Marrom por R$129,99 https://gafanho.to/oferta/sapatenis-sapato-casual-juilli-com-relogio-com-cadarco	0	
67	1167540950576574464	GafanhotoApp	[dafiti] Sapatênis Sapato Casual Juilli Com Relógio Com Cadarço 1100L Café Marrom - Compre Agora... https://gafanho.to/oferta/dafiti-sapatenis-sapato-casual-juilli-com-relogio-com	0	
68	1167232075193290752	middlebum	quais lojas virtuais você me indica pra compra sapato bonito — yellow factory, vilela boots, cravo e canela, inboxshoes, loja reversa, dafiti 	0	
69	1167041201079574528	analindimais	Os sapatos da Capodarte estão em promoção na Dafiti, ÇOCORRRRRR	0	
70	1166850727479824386	Jessika_L	E o que eu tô querendo falar com isso? Que eu comprei dois produtos na @dafiti_brasil, um sapato e um corretivo. O segundo produto acabei de receber, e ele veio embalado assim: 	0	
71	1166528987197321216	lunbs1	900 reais eu compro 27 pares de sapato na Dafiti	1	
72	1166496313267167238	seisdeboras	desinstalar dafiti desinstalar dafit desinstalar dafi desinstalar daf desinstalar da desinstalar d OLHA QUE SAPATO BONITINHO	0	
73	1166170731195064320	NiquellyB	Tenho que parar de comprar sapatos, já não tenho mais espaço pra guardar nenhummmm!! Porém, eu não resisto as promoções da Dafiti. 	0	
74	1166146210639560705	amayarapb	Já sentei e chorei pq o sapato que troquei na @dafiti_brasil ainda ficou grande e não consigo trocar mais. É isso.	0	
75	1165026220440018945	dafiti_brasil	Mood: salvando sapatos e roupas na Dafiti para comprar assim que eu tiver dinheiro** 	1	
76	1164847943041503233	GafanhotoApp	[dafiti] Sapatos, tenis e botas com até 60% de desconto gratis relógio de pulso. https://gafanho.to/oferta/sapatos-tenis-botas-com-ate-de-desconto-gratis	0	
77	1164847424709562368	hardmob_promo	[DAFITI] Sapatos, tenis e botas com até 60% de desconto gratis relógio de pulso. https://www.hardmob.com.br/threads/724919-DAFITI-Sapatos-tenis-e-botas-com-ate-60-de-desconto-gratis-relogio-de-pulso	0	
78	1164557521207660545	rafaela_juhh	Isso que dá ficar vendo sapato na Dafiti	0	
79	1164552395537432576	maaahnunesl	GIRLS, alguém já comprou sapatos no app dafiti??	0	
80	1164295483478761475	throneofash	nenhum sapato que comprei na dafiti serviu no meu pézinho de princesa 	0	
